index,reorder_point,order_size,total_cost,ordering_cost,holding_cost,shortage_cost
601,30,5,128.1,103.7,8.6,15.8
602,30,5,137.4,108.9,6.7,21.8
603,30,5,135.8,109.4,7.2,19.3
604,30,5,130.8,105.4,8.5,16.9
605,30,5,124.5,102.8,7.9,13.9
606,30,5,133.7,107.9,7.1,18.7
607,30,5,124.6,103.2,8.5,12.9
608,30,5,136.4,108.9,6.5,20.9
609,30,5,135.2,108.3,6.6,20.2
610,30,10,127.8,105.8,9.9,12.2
611,30,10,127.6,105.8,10.9,11.0
612,30,10,125.8,105.1,10.7,9.9
613,30,10,134.8,110.4,9.8,14.7
614,30,10,127.4,106.3,10.6,10.5
615,30,10,128.3,108.9,9.8,9.6
616,30,10,123.7,104.0,10.9,8.7
617,30,10,127.4,105.8,11.2,10.4
618,30,10,120.6,99.9,12.0,8.7
619,30,10,124.2,101.9,11.8,10.5
620,30,15,120.8,100.6,15.4,4.8
621,30,15,121.9,100.1,14.8,6.9
622,30,15,127.9,105.7,14.1,8.1
623,30,15,123.9,104.0,14.5,5.4
624,30,15,124.7,104.3,13.1,7.3
625,30,15,121.9,101.9,14.7,5.3
626,30,15,121.5,101.6,14.7,5.2
627,30,15,119.2,100.2,15.2,3.8
628,30,15,123.1,103.4,14.0,5.7
629,30,15,121.8,100.6,14.5,6.7
630,30,20,120.9,98.4,16.4,6.1
631,30,20,127.4,104.9,16.2,6.4
632,30,20,119.4,97.2,17.7,4.6
633,30,20,120.3,94.5,17.6,8.2
634,30,20,123.8,100.8,16.8,6.2
635,30,20,118.0,95.6,18.2,4.3
636,30,20,122.1,100.1,17.5,4.4
637,30,20,121.3,98.2,16.8,6.4
638,30,20,125.3,100.7,17.0,7.6
639,30,20,121.7,99.2,16.3,6.2
640,30,25,121.8,98.0,18.2,5.6
641,30,25,121.3,95.7,19.4,6.3
642,30,25,115.2,91.7,20.1,3.5
643,30,25,125.2,97.7,18.7,8.8
644,30,25,121.8,97.5,17.3,6.9
645,30,25,116.3,91.8,19.2,5.3
646,30,25,123.0,96.9,19.0,7.1
647,30,25,121.1,97.2,18.6,5.3
648,30,25,118.1,93.0,20.9,4.2
649,30,25,120.0,95.8,19.7,4.5
650,30,30,121.9,96.2,20.2,5.5
651,30,30,121.6,95.8,21.2,4.6
652,30,30,116.7,88.7,21.9,6.1
653,30,30,120.2,92.9,21.0,6.3
654,30,30,114.4,88.1,22.1,4.2
655,30,30,117.1,91.3,20.7,5.1
656,30,30,119.5,92.7,21.1,5.7
657,30,30,114.7,87.0,20.9,6.7
658,30,30,115.4,88.5,22.1,4.8
659,30,30,116.6,91.4,20.6,4.6
660,30,35,115.0,86.8,23.7,4.5
661,30,35,118.2,89.5,23.7,5.0
662,30,35,118.2,89.6,24.9,3.6
663,30,35,116.9,87.2,24.6,5.1
664,30,35,124.2,94.8,22.3,7.1
665,30,35,120.0,92.2,22.8,5.0
666,30,35,115.3,86.1,26.3,2.9
667,30,35,119.8,91.4,23.3,5.1
668,30,35,124.4,95.0,23.2,6.3
669,30,35,120.1,91.9,24.3,3.9
670,30,40,120.4,89.4,26.3,4.7
671,30,40,118.0,88.1,25.5,4.3
672,30,40,117.6,87.6,26.9,3.1
673,30,40,119.9,89.5,27.2,3.2
674,30,40,119.1,88.5,25.8,4.8
675,30,40,119.9,89.1,26.5,4.3
676,30,40,119.6,90.7,25.0,3.9
677,30,40,115.8,85.4,28.0,2.5
678,30,40,117.1,87.0,26.9,3.3
679,30,40,120.4,89.9,24.9,5.6
680,30,45,118.1,86.0,28.1,3.9
681,30,45,124.1,91.4,28.1,4.5
682,30,45,124.6,92.4,27.0,5.2
683,30,45,119.6,87.4,28.3,3.9
684,30,45,120.3,87.2,29.5,3.6
685,30,45,117.9,86.5,28.4,3.1
686,30,45,119.6,87.8,29.0,2.8
687,30,45,120.8,88.4,28.7,3.8
688,30,45,118.2,85.5,28.5,4.1
689,30,45,118.3,84.7,30.1,3.5
690,30,50,117.5,83.1,31.6,2.9
691,30,50,117.7,83.8,31.5,2.5
692,30,50,117.9,84.5,31.0,2.5
693,30,50,122.4,88.5,30.9,3.0
694,30,50,123.3,88.4,32.1,2.9
695,30,50,122.6,88.8,30.6,3.2
696,30,50,119.6,85.7,30.2,3.7
697,30,50,116.3,81.1,33.2,2.0
698,30,50,126.4,87.9,31.5,6.9
699,30,50,123.0,87.9,31.1,4.1
700,35,5,131.3,108.7,10.6,12.1
701,35,5,131.1,107.3,10.8,13.0
702,35,5,138.1,112.2,9.3,16.5
703,35,5,124.1,103.7,11.4,8.9
704,35,5,128.7,105.5,11.4,11.8
705,35,5,127.2,104.7,11.6,10.9
706,35,5,125.4,103.4,11.7,10.3
707,35,5,118.8,99.7,13.1,6.0
708,35,5,126.3,104.7,11.6,10.0
709,35,5,124.8,103.9,11.6,9.3
710,35,10,125.5,104.4,15.0,6.1
711,35,10,130.2,109.1,14.3,6.7
712,35,10,123.9,103.6,15.0,5.3
713,35,10,121.0,101.8,15.7,3.5
714,35,10,128.8,106.5,14.6,7.7
715,35,10,132.7,110.6,13.5,8.6
716,35,10,122.2,100.9,16.3,5.0
717,35,10,128.8,109.2,13.7,5.8
718,35,10,126.1,106.2,14.5,5.4
719,35,10,125.3,105.1,14.9,5.3
720,35,15,121.8,99.4,19.9,2.5
721,35,15,123.5,102.0,18.6,2.9
722,35,15,126.0,103.4,18.7,3.9
723,35,15,129.0,107.4,18.2,3.3
724,35,15,126.9,104.7,18.0,4.2
725,35,15,121.1,99.3,18.7,3.1
